預註冊閘門通過：DECISION_20260911_R529_CROSS_BANK_PREREG.md 授權 g_r529_mbpp_a6
20 題（evalplus　offset=100　題序 [100, 120)）　輸出 runs/g_r529_mbpp_a6
── 量具驗證（先答已知答案）
   範圍＝bank：對 evalplus 全 371 題裡有參考解的驗，本塊 20 題另外算出貨閘門覆蓋
<unknown>:4: SyntaxWarning: invalid escape sequence '\.'
<unknown>:4: SyntaxWarning: invalid escape sequence '\.'
<unknown>:5: SyntaxWarning: invalid escape sequence '\w'
<unknown>:5: SyntaxWarning: invalid escape sequence '\w'
   參考解通過 371/371　壞解被擋 371/371
   可見閘門（CONFORM 決策量具）參考解通過 371/371　樁被擋 371/371　覆蓋 371/371
   本塊出貨閘門覆蓋 20/20
── 模型池：6 個 agent／1 個模型家族
── 模型池預檢（每個 model 問一句，零容忍）
   gemma-4-12b-it-qat　回 2 字　✓
  [OFF 1/20] 需求符合=True 接受=True 累計呼叫=1
  [CONFORM 1/20] 需求符合=True 接受=True 累計呼叫=1
  [HMIX 1/20] 需求符合=True 接受=True 累計呼叫=1
  [OFF 2/20] 需求符合=True 接受=True 累計呼叫=2
  [CONFORM 2/20] 需求符合=True 接受=True 累計呼叫=2
  [HMIX 2/20] 需求符合=True 接受=True 累計呼叫=2
  [OFF 3/20] 需求符合=False 接受=True 累計呼叫=3
  [CONFORM 3/20] 需求符合=False 接受=True 累計呼叫=3
  [HMIX 3/20] 需求符合=True 接受=True 累計呼叫=3
  [OFF 4/20] 需求符合=True 接受=True 累計呼叫=4
  [CONFORM 4/20] 需求符合=True 接受=True 累計呼叫=4
  [HMIX 4/20] 需求符合=True 接受=True 累計呼叫=4
  [OFF 5/20] 需求符合=True 接受=True 累計呼叫=5
  [CONFORM 5/20] 需求符合=True 接受=True 累計呼叫=5
  [HMIX 5/20] 需求符合=True 接受=True 累計呼叫=5
  [OFF 6/20] 需求符合=True 接受=True 累計呼叫=6
  [CONFORM 6/20] 需求符合=True 接受=True 累計呼叫=6
  [HMIX 6/20] 需求符合=True 接受=True 累計呼叫=6
  [OFF 7/20] 需求符合=False 接受=True 累計呼叫=7
  [CONFORM 7/20] 需求符合=False 接受=True 累計呼叫=7
  [HMIX 7/20] 需求符合=True 接受=True 累計呼叫=7
  [OFF 8/20] 需求符合=True 接受=True 累計呼叫=8
  [CONFORM 8/20] 需求符合=True 接受=True 累計呼叫=8
  [HMIX 8/20] 需求符合=True 接受=True 累計呼叫=8
  [OFF 9/20] 需求符合=False 接受=True 累計呼叫=9
  [CONFORM 9/20] 需求符合=False 接受=False 累計呼叫=13
  [HMIX 9/20] 需求符合=False 接受=False 累計呼叫=12
  [OFF 10/20] 需求符合=False 接受=True 累計呼叫=10
  [CONFORM 10/20] 需求符合=False 接受=True 累計呼叫=14
  [HMIX 10/20] 需求符合=False 接受=True 累計呼叫=13
  [OFF 11/20] 需求符合=True 接受=True 累計呼叫=11
  [CONFORM 11/20] 需求符合=True 接受=True 累計呼叫=15
  [HMIX 11/20] 需求符合=True 接受=True 累計呼叫=14
  [OFF 12/20] 需求符合=True 接受=True 累計呼叫=12
  [CONFORM 12/20] 需求符合=True 接受=True 累計呼叫=16
  [HMIX 12/20] 需求符合=True 接受=True 累計呼叫=15
  [OFF 13/20] 需求符合=True 接受=True 累計呼叫=13
  [CONFORM 13/20] 需求符合=True 接受=True 累計呼叫=17
  [HMIX 13/20] 需求符合=True 接受=True 累計呼叫=16
  [OFF 14/20] 需求符合=True 接受=True 累計呼叫=14
  [CONFORM 14/20] 需求符合=True 接受=True 累計呼叫=18
  [HMIX 14/20] 需求符合=True 接受=True 累計呼叫=17
  [OFF 15/20] 需求符合=True 接受=True 累計呼叫=15
  [CONFORM 15/20] 需求符合=True 接受=True 累計呼叫=19
  [HMIX 15/20] 需求符合=True 接受=True 累計呼叫=18
  [OFF 16/20] 需求符合=False 接受=True 累計呼叫=16
  [CONFORM 16/20] 需求符合=False 接受=True 累計呼叫=21
  [HMIX 16/20] 需求符合=False 接受=False 累計呼叫=21
  [OFF 17/20] 需求符合=True 接受=True 累計呼叫=17
  [CONFORM 17/20] 需求符合=True 接受=True 累計呼叫=22
